20131409 23:09:27.480 [main] DEBUG TestSuiteConfigParser - Processing configuration file "/var/scratch/yongguo/neo4j_data/testsuite/bfs_10.xml"
20131409 23:09:27.661 [main] INFO  TestSuiteConfigParser - Processing configuration file COMPLETED
20131409 23:09:27.662 [main] INFO  TestSuiteConfigParser - ---------------------------------------
20131409 23:09:27.663 [main] INFO  SuiteTool - SUITE: Amazon.302: BFS (10 RUN)
20131409 23:09:28.644 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/amazon.302_FCF
20131409 23:09:34.326 [main] INFO  DirectedBFS - Directed BFS Texe = 5681.0 ms
20131409 23:09:34.326 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131409 23:09:34.326 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/amazon.302_FCF
20131409 23:09:35.251 [main] INFO  DirectedBFS - Directed BFS Texe = 925.0 ms
20131409 23:09:35.252 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131409 23:09:35.252 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/amazon.302_FCF
20131409 23:09:36.241 [main] INFO  DirectedBFS - Directed BFS Texe = 989.0 ms
20131409 23:09:36.241 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131409 23:09:36.241 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/amazon.302_FCF
20131409 23:09:37.000 [main] INFO  DirectedBFS - Directed BFS Texe = 759.0 ms
20131409 23:09:37.000 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131409 23:09:37.000 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/amazon.302_FCF
20131409 23:09:37.920 [main] INFO  DirectedBFS - Directed BFS Texe = 920.0 ms
20131409 23:09:37.920 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131409 23:09:37.921 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/amazon.302_FCF
20131409 23:09:38.714 [main] INFO  DirectedBFS - Directed BFS Texe = 793.0 ms
20131409 23:09:38.714 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131409 23:09:38.714 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/amazon.302_FCF
20131409 23:09:39.486 [main] INFO  DirectedBFS - Directed BFS Texe = 772.0 ms
20131409 23:09:39.486 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131409 23:09:39.486 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/amazon.302_FCF
20131409 23:09:40.399 [main] INFO  DirectedBFS - Directed BFS Texe = 912.0 ms
20131409 23:09:40.399 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131409 23:09:40.399 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/amazon.302_FCF
20131409 23:09:41.700 [main] INFO  DirectedBFS - Directed BFS Texe = 1301.0 ms
20131409 23:09:41.701 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131409 23:09:41.701 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/amazon.302_FCF
20131409 23:09:43.173 [main] INFO  DirectedBFS - Directed BFS Texe = 1471.0 ms
20131409 23:09:43.173 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131409 23:09:43.277 [main] INFO  GraphJobs - Total Job Runs time Texe = 15.608s
20131409 23:09:43.277 [main] INFO  BenchmarkPrinter - ****** Job Benchmark Data ******
20131409 23:09:43.278 [main] INFO  BenchmarkPrinter - elapsed time = | 5681.0 | 925.0 | 989.0 | 759.0 | 920.0 | 793.0 | 772.0 | 912.0 | 1301.0 | 1471.0
20131409 23:09:43.278 [main] INFO  BenchmarkPrinter - AVG elapsed time = 1.4523
20131409 23:09:43.278 [main] INFO  BenchmarkPrinter - node size = 0.0
20131409 23:09:43.278 [main] INFO  BenchmarkPrinter - edge size = 0.0
20131409 23:09:43.278 [main] INFO  BenchmarkPrinter - ****** Job Benchmark Data END ******
20131409 23:09:43.278 [main] INFO  SuiteTool - -------------------- Job Runs COMPLETED --------------------
20131409 23:09:43.278 [main] INFO  SuiteTool - SUITE_END: Happy END
